"names" "values"
"1" "HOG1_T174~Y176_n_GPD1_S24~S27" 5
"2" "HOG1_T174~Y176_k_GPD1_S24~S27" 0.5289453
"3" "HOG1_T174-Y176_n_GPD1_S24~S27" 4.964491
"4" "HOG1_T174-Y176_k_GPD1_S24~S27" 0.3219138
"5" "HOT1_S153_n_GPD1_S24~S27" 4.999991
"6" "HOT1_S153_k_GPD1_S24~S27" 0.9
"7" "tau_GPD1_S24~S27" 1.696537
"8" "GPD1_S24~S27_n_HOG1_T174~Y176" 1.000002
"9" "GPD1_S24~S27_k_HOG1_T174~Y176" 0.1000022
"10" "PBS2_S68_n_HOG1_T174~Y176" 3.039129
"11" "PBS2_S68_k_HOG1_T174~Y176" 0.8999999
"12" "PBS2_S248_n_HOG1_T174~Y176" 5
"13" "PBS2_S248_k_HOG1_T174~Y176" 0.8999874
"14" "PTC1_n_HOG1_T174~Y176" 1.235335
"15" "PTC1_k_HOG1_T174~Y176" 0.8331431
"16" "PTP2_S258_n_HOG1_T174~Y176" 2.108269
"17" "PTP2_S258_k_HOG1_T174~Y176" 0.2986205
"18" "PBS2_S269_n_HOG1_T174~Y176" 4.999997
"19" "PBS2_S269_k_HOG1_T174~Y176" 0.8999982
"20" "tau_HOG1_T174~Y176" 1.246073
"21" "GPD1_S24~S27_n_HOG1_T174-Y176" 1
"22" "GPD1_S24~S27_k_HOG1_T174-Y176" 0.177661
"23" "PBS2_S68_n_HOG1_T174-Y176" 4.999793
"24" "PBS2_S68_k_HOG1_T174-Y176" 0.8999988
"25" "PBS2_S248_n_HOG1_T174-Y176" 5
"26" "PBS2_S248_k_HOG1_T174-Y176" 0.9
"27" "PTC1_n_HOG1_T174-Y176" 1.418127
"28" "PTC1_k_HOG1_T174-Y176" 0.1000011
"29" "PTP2_S258_n_HOG1_T174-Y176" 4.277627
"30" "PTP2_S258_k_HOG1_T174-Y176" 0.2506632
"31" "PBS2_S269_n_HOG1_T174-Y176" 4.90612
"32" "PBS2_S269_k_HOG1_T174-Y176" 0.8835954
"33" "tau_HOG1_T174-Y176" 1.600166
"34" "FUS3_T180_n_DIG2_S225" 5
"35" "FUS3_T180_k_DIG2_S225" 0.9
"36" "FUS3_S177-T180~Y182_n_DIG2_S225" 1
"37" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.1000002
"38" "tau_DIG2_S225" 0.02581956
"39" "SHO1_n_STE20_S192" 2.207967
"40" "SHO1_k_STE20_S192" 0.898249
"41" "b-STE4_n_STE20_S192" 4.999983
"42" "b-STE4_k_STE20_S192" 0.1839732
"43" "tau_STE20_S192" 1.547661
"44" "SLN1_S833_n_YPD1" 1
"45" "SLN1_S833_k_YPD1" 0.1
"46" "tau_YPD1" 0.01
"47" "FUS3_T180_n_DIG1_S395" 5
"48" "FUS3_T180_k_DIG1_S395" 0.9
"49" "FUS3_S177-T180~Y182_n_DIG1_S395" 4.999999
"50" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.9
"51" "tau_DIG1_S395" 0.02177549
"52" "FUS3_T180_n_DIG1_S126-S127" 1.000212
"53" "FUS3_T180_k_DIG1_S126-S127" 0.8981005
"54" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 2.096695
"55" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.5214585
"56" "tau_DIG1_S126-S127" 1.411366
"57" "NaCl_n_SHO1" 4.766469
"58" "NaCl_k_SHO1" 0.8999995
"59" "tau_SHO1" 0.01
"60" "SHO1_n_STE20_T511" 1
"61" "SHO1_k_STE20_T511" 0.1
"62" "b-STE4_n_STE20_T511" 5
"63" "b-STE4_k_STE20_T511" 0.100004
"64" "tau_STE20_T511" 0.08517246
"65" "a_n_STE2r" 1
"66" "a_k_STE2r" 0.8999998
"67" "STE2_S331_n_STE2r" 4.999948
"68" "STE2_S331_k_STE2r" 0.230586
"69" "tau_STE2r" 0.01
"70" "YPD1_n_SSK1_S193~S195" 1
"71" "YPD1_k_SSK1_S193~S195" 0.1000001
"72" "tau_SSK1_S193~S195" 0.01807489
"73" "STE2r_n_STE2_S331" 4.999946
"74" "STE2r_k_STE2_S331" 0.899794
"75" "tau_STE2_S331" 0.03659862
"76" "FUS3_T180_n_DIG1_S272" 5
"77" "FUS3_T180_k_DIG1_S272" 0.1000004
"78" "FUS3_S177-T180~Y182_n_DIG1_S272" 5
"79" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.4307
"80" "tau_DIG1_S272" 0.2904701
"81" "YPD1_n_SSK1_S351" 1.000017
"82" "YPD1_k_SSK1_S351" 0.5409475
"83" "tau_SSK1_S351" 0.01000178
"84" "SHO1_n_STE20_T203~T207" 5
"85" "SHO1_k_STE20_T203~T207" 0.9
"86" "b-STE4_n_STE20_T203~T207" 4.999782
"87" "b-STE4_k_STE20_T203~T207" 0.1443816
"88" "tau_STE20_T203~T207" 0.7481788
"89" "STE11_S326_n_STEcomplex" 4.999993
"90" "STE11_S326_k_STEcomplex" 0.7750971
"91" "STE50_S202_n_STEcomplex" 5
"92" "STE50_S202_k_STEcomplex" 0.6889038
"93" "tau_STEcomplex" 0.02261574
"94" "SHO1_n_STE20_S195" 3.737418
"95" "SHO1_k_STE20_S195" 0.9
"96" "b-STE4_n_STE20_S195" 5
"97" "b-STE4_k_STE20_S195" 0.1362599
"98" "tau_STE20_S195" 0.3670489
"99" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 1.912481
"100" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.8458636
"101" "SSK1_S351_n_SSK2_S53-S54~S57" 4.988838
"102" "SSK1_S351_k_SSK2_S53-S54~S57" 0.1
"103" "tau_SSK2_S53-S54~S57" 2.800399
"104" "PBS2_S68_n_NBP2" 3.089081
"105" "PBS2_S68_k_NBP2" 0.9
"106" "PBS2_S248_n_NBP2" 1
"107" "PBS2_S248_k_NBP2" 0.1314301
"108" "PBS2_S269_n_NBP2" 1
"109" "PBS2_S269_k_NBP2" 0.1
"110" "tau_NBP2" 1.221109
"111" "SHO1_n_STE20_T170~T172" 4.999969
"112" "SHO1_k_STE20_T170~T172" 0.8992488
"113" "b-STE4_n_STE20_T170~T172" 1
"114" "b-STE4_k_STE20_T170~T172" 0.1953672
"115" "tau_STE20_T170~T172" 0.01009954
"116" "NaCl_n_SLN1_S833" 5
"117" "NaCl_k_SLN1_S833" 0.1015931
"118" "tau_SLN1_S833" 0.01
"119" "STE2r_n_GPA1_S199" 1.689202
"120" "STE2r_k_GPA1_S199" 0.538454
"121" "tau_GPA1_S199" 0.01890435
"122" "STE7_n_FUS3_T180" 1
"123" "STE7_k_FUS3_T180" 0.1181801
"124" "tau_FUS3_T180" 0.6160179
"125" "HOG1_T174~Y176_n_HOT1_S153" 5
"126" "HOG1_T174~Y176_k_HOT1_S153" 0.9
"127" "HOG1_T174-Y176_n_HOT1_S153" 1
"128" "HOG1_T174-Y176_k_HOT1_S153" 0.8998948
"129" "tau_HOT1_S153" 0.04968758
"130" "STE7_n_FUS3_S177-T180~Y182" 4.999999
"131" "STE7_k_FUS3_S177-T180~Y182" 0.1329691
"132" "tau_FUS3_S177-T180~Y182" 9.996386
"133" "y-STE18_n_b-STE4" 1
"134" "y-STE18_k_b-STE4" 0.7948216
"135" "tau_b-STE4" 1.812613
"136" "SHO1_n_STE20_S196~T197" 4.999821
"137" "SHO1_k_STE20_S196~T197" 0.9
"138" "b-STE4_n_STE20_S196~T197" 4.999902
"139" "b-STE4_k_STE20_S196~T197" 0.117019
"140" "tau_STE20_S196~T197" 0.04736281
"141" "STEcomplex_n_PBS2_S68" 4.999991
"142" "STEcomplex_k_PBS2_S68" 0.9
"143" "SSK2_S53-S54~S57_n_PBS2_S68" 5
"144" "SSK2_S53-S54~S57_k_PBS2_S68" 0.5754046
"145" "tau_PBS2_S68" 0.03964925
"146" "SHO1_n_STE20_T573" 4.999938
"147" "SHO1_k_STE20_T573" 0.7508982
"148" "b-STE4_n_STE20_T573" 5
"149" "b-STE4_k_STE20_T573" 0.1000009
"150" "tau_STE20_T573" 0.1773423
"151" "GPA1_S199_n_y-STE18" 4.999993
"152" "GPA1_S199_k_y-STE18" 0.7250822
"153" "tau_y-STE18" 9.999998
"154" "STE5_n_STE7" 1.681116
"155" "STE5_k_STE7" 0.4726954
"156" "tau_STE7" 0.05617597
"157" "STEcomplex_n_PBS2_S248" 4.999917
"158" "STEcomplex_k_PBS2_S248" 0.303912
"159" "SSK2_S53-S54~S57_n_PBS2_S248" 4.999958
"160" "SSK2_S53-S54~S57_k_PBS2_S248" 0.5989396
"161" "tau_PBS2_S248" 0.5439654
"162" "STEcomplex_n_STE5" 4.999809
"163" "STEcomplex_k_STE5" 0.2206099
"164" "b-STE4_n_STE5" 2.034678
"165" "b-STE4_k_STE5" 0.5825931
"166" "tau_STE5" 0.1457495
"167" "NBP2_n_PTC1" 1.246552
"168" "NBP2_k_PTC1" 0.9
"169" "tau_PTC1" 0.8844062
"170" "HOG1_T174~Y176_n_PTP2_S258" 1.605557
"171" "HOG1_T174~Y176_k_PTP2_S258" 0.8902112
"172" "HOG1_T174-Y176_n_PTP2_S258" 4.999964
"173" "HOG1_T174-Y176_k_PTP2_S258" 0.8999933
"174" "tau_PTP2_S258" 0.07871725
"175" "STEcomplex_n_PBS2_S269" 2.102639
"176" "STEcomplex_k_PBS2_S269" 0.6307536
"177" "SSK2_S53-S54~S57_n_PBS2_S269" 5
"178" "SSK2_S53-S54~S57_k_PBS2_S269" 0.6464023
"179" "tau_PBS2_S269" 0.7061991
"180" "FUS3_T180_n_DIG1_S272~T277~S279" 2.350258
"181" "FUS3_T180_k_DIG1_S272~T277~S279" 0.8999988
"182" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 4.999981
"183" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.1000002
"184" "tau_DIG1_S272~T277~S279" 0.8922573
"185" "STE20_S192_n_STE11_S326" 4.999997
"186" "STE20_S192_k_STE11_S326" 0.8999979
"187" "STE20_T511_n_STE11_S326" 5
"188" "STE20_T511_k_STE11_S326" 0.8999999
"189" "STE20_T203~T207_n_STE11_S326" 5
"190" "STE20_T203~T207_k_STE11_S326" 0.7800233
"191" "STE20_S195_n_STE11_S326" 1.000001
"192" "STE20_S195_k_STE11_S326" 0.9
"193" "STE20_T170~T172_n_STE11_S326" 5
"194" "STE20_T170~T172_k_STE11_S326" 0.9
"195" "STE20_S196~T197_n_STE11_S326" 4.99405
"196" "STE20_S196~T197_k_STE11_S326" 0.9
