"names" "values"
"1" "HOG1_T174~Y176_n_GPD1_S24~S27" 1.747536
"2" "HOG1_T174~Y176_k_GPD1_S24~S27" 0.5696402
"3" "HOG1_T174-Y176_n_GPD1_S24~S27" 4.999987
"4" "HOG1_T174-Y176_k_GPD1_S24~S27" 0.3556315
"5" "HOT1_S153_n_GPD1_S24~S27" 4.988376
"6" "HOT1_S153_k_GPD1_S24~S27" 0.9
"7" "tau_GPD1_S24~S27" 1.13561
"8" "GPD1_S24~S27_n_HOG1_T174~Y176" 4.999814
"9" "GPD1_S24~S27_k_HOG1_T174~Y176" 0.1
"10" "PBS2_S68_n_HOG1_T174~Y176" 5
"11" "PBS2_S68_k_HOG1_T174~Y176" 0.859643
"12" "PBS2_S248_n_HOG1_T174~Y176" 5
"13" "PBS2_S248_k_HOG1_T174~Y176" 0.9
"14" "PTC1_n_HOG1_T174~Y176" 4.99996
"15" "PTC1_k_HOG1_T174~Y176" 0.1000036
"16" "PTP2_S258_n_HOG1_T174~Y176" 1
"17" "PTP2_S258_k_HOG1_T174~Y176" 0.1
"18" "PBS2_S269_n_HOG1_T174~Y176" 4.748374
"19" "PBS2_S269_k_HOG1_T174~Y176" 0.8996774
"20" "tau_HOG1_T174~Y176" 3.412015
"21" "GPD1_S24~S27_n_HOG1_T174-Y176" 5
"22" "GPD1_S24~S27_k_HOG1_T174-Y176" 0.100005
"23" "PBS2_S68_n_HOG1_T174-Y176" 5
"24" "PBS2_S68_k_HOG1_T174-Y176" 0.899999
"25" "PBS2_S248_n_HOG1_T174-Y176" 5
"26" "PBS2_S248_k_HOG1_T174-Y176" 0.9
"27" "PTC1_n_HOG1_T174-Y176" 5
"28" "PTC1_k_HOG1_T174-Y176" 0.1000711
"29" "PTP2_S258_n_HOG1_T174-Y176" 1
"30" "PTP2_S258_k_HOG1_T174-Y176" 0.1
"31" "PBS2_S269_n_HOG1_T174-Y176" 4.999797
"32" "PBS2_S269_k_HOG1_T174-Y176" 0.9
"33" "tau_HOG1_T174-Y176" 0.7253534
"34" "FUS3_T180_n_DIG2_S225" 3.75684
