"names" "values"
"1" "FUS3_T180_n_DIG2_S225" 2.444992
"2" "FUS3_T180_k_DIG2_S225" 0.8999987
"3" "FUS3_S177-T180~Y182_n_DIG2_S225" 1.461495
"4" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.8999795
"5" "tau_DIG2_S225" 0.04905898
"6" "SHO1_n_STE20_S192" 2.016498
"7" "SHO1_k_STE20_S192" 0.8999994
"8" "b-STE4_n_STE20_S192" 4.999995
"9" "b-STE4_k_STE20_S192" 0.2877098
"10" "tau_STE20_S192" 1.73563
"11" "SLN1_S833_n_YPD1" 4.976314
"12" "SLN1_S833_k_YPD1" 0.8999975
"13" "tau_YPD1" 0.01
"14" "FUS3_T180_n_DIG1_S395" 4.999784
"15" "FUS3_T180_k_DIG1_S395" 0.8999264
"16" "FUS3_S177-T180~Y182_n_DIG1_S395" 4.999866
"17" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.9
"18" "tau_DIG1_S395" 0.01924028
"19" "FUS3_T180_n_DIG1_S126-S127" 3.849107
"20" "FUS3_T180_k_DIG1_S126-S127" 0.100055
"21" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 5
"22" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.5034368
"23" "tau_DIG1_S126-S127" 1.216981
"24" "NaCl_n_SHO1" 1.000086
"25" "NaCl_k_SHO1" 0.1116628
"26" "tau_SHO1" 0.01
"27" "SHO1_n_STE20_T511" 1.410759
"28" "SHO1_k_STE20_T511" 0.8999944
"29" "b-STE4_n_STE20_T511" 5
"30" "b-STE4_k_STE20_T511" 0.1
"31" "tau_STE20_T511" 0.09131698
"32" "a_n_STE2r" 1
"33" "a_k_STE2r" 0.7765507
"34" "STE2_S331_n_STE2r" 4.999998
"35" "STE2_S331_k_STE2r" 0.1877848
"36" "tau_STE2r" 0.01000132
"37" "YPD1_n_SSK1_S193~S195" 1.000011
"38" "YPD1_k_SSK1_S193~S195" 0.1000082
"39" "tau_SSK1_S193~S195" 0.04265841
"40" "STE2r_n_STE2_S331" 4.999994
"41" "STE2r_k_STE2_S331" 0.8999998
"42" "tau_STE2_S331" 0.03591954
"43" "FUS3_T180_n_DIG1_S272" 4.999798
"44" "FUS3_T180_k_DIG1_S272" 0.480681
"45" "FUS3_S177-T180~Y182_n_DIG1_S272" 5
"46" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.3239063
"47" "tau_DIG1_S272" 0.2243601
"48" "YPD1_n_SSK1_S351" 1.000003
"49" "YPD1_k_SSK1_S351" 0.1498193
"50" "tau_SSK1_S351" 0.01000008
"51" "SHO1_n_STE20_T203~T207" 4.999972
"52" "SHO1_k_STE20_T203~T207" 0.8999977
"53" "b-STE4_n_STE20_T203~T207" 3.584533
"54" "b-STE4_k_STE20_T203~T207" 0.2045433
"55" "tau_STE20_T203~T207" 0.7670392
"56" "STE11_S326_n_STEcomplex" 4.999999
"57" "STE11_S326_k_STEcomplex" 0.9
"58" "STE50_S202_n_STEcomplex" 4.99999
"59" "STE50_S202_k_STEcomplex" 0.8999986
"60" "tau_STEcomplex" 0.01717763
"61" "SHO1_n_STE20_S195" 1
"62" "SHO1_k_STE20_S195" 0.1000008
"63" "tau_STE20_S195" 0.8546772
"64" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 3.506246
"65" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.523688
"66" "SSK1_S351_n_SSK2_S53-S54~S57" 4.999878
"67" "SSK1_S351_k_SSK2_S53-S54~S57" 0.1000001
"68" "tau_SSK2_S53-S54~S57" 2.80812
"69" "PBS2_S68_n_NBP2" 1.756404
"70" "PBS2_S68_k_NBP2" 0.8306133
"71" "PBS2_S248_n_NBP2" 1.122294
"72" "PBS2_S248_k_NBP2" 0.1002779
"73" "PBS2_S269_n_NBP2" 4.509909
"74" "PBS2_S269_k_NBP2" 0.7008197
"75" "tau_NBP2" 0.1122784
"76" "SHO1_n_STE20_T170~T172" 4.999267
"77" "SHO1_k_STE20_T170~T172" 0.8999972
"78" "b-STE4_n_STE20_T170~T172" 1.000004
"79" "b-STE4_k_STE20_T170~T172" 0.3115419
"80" "tau_STE20_T170~T172" 0.01000037
"81" "NaCl_n_SLN1_S833" 4.994114
"82" "NaCl_k_SLN1_S833" 0.1000009
"83" "tau_SLN1_S833" 0.01000025
"84" "PBS2_S68_n_HOG1_T174-Y176" 4.999997
"85" "PBS2_S68_k_HOG1_T174-Y176" 0.9
"86" "PBS2_S248_n_HOG1_T174-Y176" 4.999993
"87" "PBS2_S248_k_HOG1_T174-Y176" 0.8999999
"88" "PTC1_n_HOG1_T174-Y176" 1.000007
"89" "PTC1_k_HOG1_T174-Y176" 0.8999998
"90" "PTP2_S258_n_HOG1_T174-Y176" 1
"91" "PTP2_S258_k_HOG1_T174-Y176" 0.1
"92" "PBS2_S269_n_HOG1_T174-Y176" 5
"93" "PBS2_S269_k_HOG1_T174-Y176" 0.8999936
"94" "tau_HOG1_T174-Y176" 0.5987105
"95" "STE2r_n_GPA1_S199" 1.186854
"96" "STE2r_k_GPA1_S199" 0.7728667
"97" "tau_GPA1_S199" 0.01000007
"98" "STE7_n_FUS3_T180" 4.99958
"99" "STE7_k_FUS3_T180" 0.1000048
"100" "tau_FUS3_T180" 0.05386576
"101" "HOG1_T174-Y176_n_HOT1_S153" 5
"102" "HOG1_T174-Y176_k_HOT1_S153" 0.8999671
"103" "HOG1_T174~Y176_n_HOT1_S153" 5
"104" "HOG1_T174~Y176_k_HOT1_S153" 0.1039203
"105" "tau_HOT1_S153" 0.03439566
"106" "STE7_n_FUS3_S177-T180~Y182" 3.681671
"107" "STE7_k_FUS3_S177-T180~Y182" 0.8895943
"108" "tau_FUS3_S177-T180~Y182" 0.881565
"109" "y-STE18_n_b-STE4" 4.405555
"110" "y-STE18_k_b-STE4" 0.1000028
"111" "tau_b-STE4" 1.457403
"112" "SHO1_n_STE20_S196~T197" 4.999879
"113" "SHO1_k_STE20_S196~T197" 0.8999994
"114" "b-STE4_n_STE20_S196~T197" 4.998665
"115" "b-STE4_k_STE20_S196~T197" 0.1544973
"116" "tau_STE20_S196~T197" 0.04467428
"117" "STEcomplex_n_PBS2_S68" 1.000006
"118" "STEcomplex_k_PBS2_S68" 0.3112367
"119" "tau_PBS2_S68" 0.01000017
"120" "b-STE4_n_STE20_T573" 4.999995
"121" "b-STE4_k_STE20_T573" 0.1203948
"122" "tau_STE20_T573" 0.157835
"123" "GPA1_S199_n_y-STE18" 4.759888
"124" "GPA1_S199_k_y-STE18" 0.8616578
"125" "tau_y-STE18" 10
"126" "PBS2_S68_n_HOG1_T174~Y176" 5
"127" "PBS2_S68_k_HOG1_T174~Y176" 0.8999726
"128" "PBS2_S248_n_HOG1_T174~Y176" 4.880733
"129" "PBS2_S248_k_HOG1_T174~Y176" 0.8999999
"130" "PTC1_n_HOG1_T174~Y176" 4.999953
"131" "PTC1_k_HOG1_T174~Y176" 0.8999999
"132" "PTP2_S258_n_HOG1_T174~Y176" 1
"133" "PTP2_S258_k_HOG1_T174~Y176" 0.1000018
"134" "PBS2_S269_n_HOG1_T174~Y176" 4.999759
"135" "PBS2_S269_k_HOG1_T174~Y176" 0.8999986
"136" "tau_HOG1_T174~Y176" 4.680151
"137" "STE5_n_STE7" 1.018184
"138" "STE5_k_STE7" 0.2527279
"139" "tau_STE7" 2.443785
"140" "STEcomplex_n_PBS2_S248" 1.153494
"141" "STEcomplex_k_PBS2_S248" 0.5789474
"142" "SSK2_S53-S54~S57_n_PBS2_S248" 5
"143" "SSK2_S53-S54~S57_k_PBS2_S248" 0.6047293
"144" "tau_PBS2_S248" 0.3995682
"145" "STEcomplex_n_STE5" 4.999998
"146" "STEcomplex_k_STE5" 0.1027479
"147" "b-STE4_n_STE5" 2.91356
"148" "b-STE4_k_STE5" 0.899999
"149" "tau_STE5" 0.1349784
"150" "NBP2_n_PTC1" 4.077461
"151" "NBP2_k_PTC1" 0.1080738
"152" "tau_PTC1" 3.862965
"153" "SSK2_S53-S54~S57_n_PBS2_S269" 5
"154" "SSK2_S53-S54~S57_k_PBS2_S269" 0.6127534
"155" "tau_PBS2_S269" 0.2954105
"156" "FUS3_T180_n_DIG1_S272~T277~S279" 4.999997
"157" "FUS3_T180_k_DIG1_S272~T277~S279" 0.1105897
"158" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 1.674095
"159" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.8999848
"160" "tau_DIG1_S272~T277~S279" 0.8142335
"161" "STE20_S192_n_STE11_S326" 4.999977
"162" "STE20_S192_k_STE11_S326" 0.8998032
"163" "STE20_T511_n_STE11_S326" 4.999997
"164" "STE20_T511_k_STE11_S326" 0.899999
"165" "STE20_T203~T207_n_STE11_S326" 2.115529
"166" "STE20_T203~T207_k_STE11_S326" 0.8991216
"167" "STE20_S195_n_STE11_S326" 4.999999
"168" "STE20_S195_k_STE11_S326" 0.8999901
"169" "STE20_T170~T172_n_STE11_S326" 1.000009
"170" "STE20_T170~T172_k_STE11_S326" 0.8999899
"171" "STE20_S196~T197_n_STE11_S326" 4.999992
"172" "STE20_S196~T197_k_STE11_S326" 0.8999982
"173" "STE20_T573_n_STE11_S326" 1
"174" "STE20_T573_k_STE11_S326" 0.8999999
"175" "tau_STE11_S326" 0.01980924
"176" "STE20_S192_n_STE50_S202" 5
"177" "STE20_S192_k_STE50_S202" 0.1000031
"178" "STE20_T511_n_STE50_S202" 4.999994
"179" "STE20_T511_k_STE50_S202" 0.1000042
"180" "STE20_T203~T207_n_STE50_S202" 1.002469
"181" "STE20_T203~T207_k_STE50_S202" 0.8999997
"182" "STE20_S195_n_STE50_S202" 4.846699
"183" "STE20_S195_k_STE50_S202" 0.8971133
"184" "STE20_T170~T172_n_STE50_S202" 1.89218
"185" "STE20_T170~T172_k_STE50_S202" 0.8991363
"186" "STE20_S196~T197_n_STE50_S202" 4.999995
"187" "STE20_S196~T197_k_STE50_S202" 0.1039798
"188" "STE20_T573_n_STE50_S202" 4.99999
"189" "STE20_T573_k_STE50_S202" 0.8981974
"190" "tau_STE50_S202" 0.03306837
"191" "DIG2_S225_n_STE12_S400" 5
"192" "DIG2_S225_k_STE12_S400" 0.1
"193" "DIG1_S395_n_STE12_S400" 4.999822
"194" "DIG1_S395_k_STE12_S400" 0.3628183
"195" "DIG1_S126-S127_n_STE12_S400" 4.850807
"196" "DIG1_S126-S127_k_STE12_S400" 0.1003506
"197" "DIG1_S272_n_STE12_S400" 5
"198" "DIG1_S272_k_STE12_S400" 0.1000022
"199" "FUS3_T180_n_STE12_S400" 5
"200" "FUS3_T180_k_STE12_S400" 0.9
"201" "FUS3_S177-T180~Y182_n_STE12_S400" 4.999988
"202" "FUS3_S177-T180~Y182_k_STE12_S400" 0.9
"203" "DIG1_S272~T277~S279_n_STE12_S400" 4.999127
"204" "DIG1_S272~T277~S279_k_STE12_S400" 0.1689659
"205" "tau_STE12_S400" 0.01
"206" "HOG1_T174-Y176_n_SKO1_T215" 4.999802
"207" "HOG1_T174-Y176_k_SKO1_T215" 0.9
"208" "HOG1_T174~Y176_n_SKO1_T215" 2.472679
"209" "HOG1_T174~Y176_k_SKO1_T215" 0.7717428
"210" "tau_SKO1_T215" 8.801896
"211" "HOG1_T174-Y176_n_SKO1_S94~S108~T113" 4.983186
"212" "HOG1_T174-Y176_k_SKO1_S94~S108~T113" 0.8461007
"213" "HOG1_T174~Y176_n_SKO1_S94~S108~T113" 4.999962
"214" "HOG1_T174~Y176_k_SKO1_S94~S108~T113" 0.101525
"215" "tau_SKO1_S94~S108~T113" 0.1029343
"216" "HOT1_S153_n_GPD1_S24~S27" 4.999988
"217" "HOT1_S153_k_GPD1_S24~S27" 0.7563602
"218" "tau_GPD1_S24~S27" 0.2610326
