"names" "values"
"1" "FUS3_T180_n_DIG2_S225" 4.999991
"2" "FUS3_T180_k_DIG2_S225" 0.3132337
"3" "FUS3_S177-T180~Y182_n_DIG2_S225" 2.277159
"4" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.9
"5" "tau_DIG2_S225" 0.06157006
"6" "SLN1_S833_n_YPD1" 2.829482
"7" "SLN1_S833_k_YPD1" 0.8216802
"8" "tau_YPD1" 0.01
"9" "FUS3_T180_n_DIG1_S395" 4.999859
"10" "FUS3_T180_k_DIG1_S395" 0.89998
"11" "FUS3_S177-T180~Y182_n_DIG1_S395" 4.999997
"12" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.8999999
"13" "tau_DIG1_S395" 0.01974721
"14" "FUS3_T180_n_DIG1_S126-S127" 5
"15" "FUS3_T180_k_DIG1_S126-S127" 0.2782347
"16" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 5
"17" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.4515576
"18" "tau_DIG1_S126-S127" 0.9411242
"19" "NaCl_n_SHO1" 1.003618
"20" "NaCl_k_SHO1" 0.8988661
"21" "tau_SHO1" 0.2916288
"22" "SHO1_n_STE20_T511" 1.193499
"23" "SHO1_k_STE20_T511" 0.5305955
"24" "b-STE4_n_STE20_T511" 4.999998
"25" "b-STE4_k_STE20_T511" 0.4417459
"26" "tau_STE20_T511" 0.2997486
"27" "a_n_STE2r" 1.000001
"28" "a_k_STE2r" 0.899104
"29" "STE2_S331_n_STE2r" 5
"30" "STE2_S331_k_STE2r" 0.8999978
"31" "tau_STE2r" 0.01000001
"32" "YPD1_n_SSK1_S193~S195" 1.319138
"33" "YPD1_k_SSK1_S193~S195" 0.1190313
"34" "tau_SSK1_S193~S195" 9.999724
"35" "STE2r_n_STE2_S331" 4.999993
"36" "STE2r_k_STE2_S331" 0.5522543
"37" "tau_STE2_S331" 0.04192493
"38" "FUS3_T180_n_DIG1_S272" 5
"39" "FUS3_T180_k_DIG1_S272" 0.4719856
"40" "FUS3_S177-T180~Y182_n_DIG1_S272" 1
"41" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.2577304
"42" "tau_DIG1_S272" 0.2362158
"43" "YPD1_n_SSK1_S351" 1
"44" "YPD1_k_SSK1_S351" 0.2218409
"45" "tau_SSK1_S351" 0.01000005
"46" "STE11_S326_n_STEcomplex" 4.999998
"47" "STE11_S326_k_STEcomplex" 0.9
"48" "STE50_S202_n_STEcomplex" 5
"49" "STE50_S202_k_STEcomplex" 0.1000124
"50" "tau_STEcomplex" 0.01000015
"51" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 4.999992
"52" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.6277825
"53" "SSK1_S351_n_SSK2_S53-S54~S57" 5
"54" "SSK1_S351_k_SSK2_S53-S54~S57" 0.100001
"55" "tau_SSK2_S53-S54~S57" 2.703348
"56" "PBS2_S68_n_NBP2" 4.999999
"57" "PBS2_S68_k_NBP2" 0.613668
"58" "PBS2_S248_n_NBP2" 5
"59" "PBS2_S248_k_NBP2" 0.1228138
"60" "PBS2_S269_n_NBP2" 5
"61" "PBS2_S269_k_NBP2" 0.2340193
"62" "tau_NBP2" 0.5699861
"63" "NaCl_n_SLN1_S833" 1.008681
"64" "NaCl_k_SLN1_S833" 0.1001018
"65" "tau_SLN1_S833" 0.01
"66" "PBS2_S68_n_HOG1_T174-Y176" 5
"67" "PBS2_S68_k_HOG1_T174-Y176" 0.7958786
"68" "PBS2_S248_n_HOG1_T174-Y176" 4.999999
"69" "PBS2_S248_k_HOG1_T174-Y176" 0.8946756
"70" "PTC1_n_HOG1_T174-Y176" 1.000001
"71" "PTC1_k_HOG1_T174-Y176" 0.1625024
"72" "PTP2_S258_n_HOG1_T174-Y176" 4.90849
"73" "PTP2_S258_k_HOG1_T174-Y176" 0.2436058
"74" "PBS2_S269_n_HOG1_T174-Y176" 5
"75" "PBS2_S269_k_HOG1_T174-Y176" 0.8007973
"76" "tau_HOG1_T174-Y176" 2.14797
"77" "STE2r_n_GPA1_S199" 5
"78" "STE2r_k_GPA1_S199" 0.9
"79" "tau_GPA1_S199" 0.01000021
"80" "STE7_n_FUS3_T180" 4.999998
"81" "STE7_k_FUS3_T180" 0.1000001
"82" "tau_FUS3_T180" 0.05583673
"83" "HOG1_T174-Y176_n_HOT1_S153" 1
"84" "HOG1_T174-Y176_k_HOT1_S153" 0.2473233
"85" "HOG1_T174~Y176_n_HOT1_S153" 1
"86" "HOG1_T174~Y176_k_HOT1_S153" 0.8999998
"87" "tau_HOT1_S153" 0.0379821
"88" "STE7_n_FUS3_S177-T180~Y182" 4.999999
"89" "STE7_k_FUS3_S177-T180~Y182" 0.9
"90" "tau_FUS3_S177-T180~Y182" 0.02023972
"91" "y-STE18_n_b-STE4" 1.683505
"92" "y-STE18_k_b-STE4" 0.899997
"93" "tau_b-STE4" 0.2356137
"94" "STEcomplex_n_PBS2_S68" 4.999515
"95" "STEcomplex_k_PBS2_S68" 0.8999998
"96" "SSK2_S53-S54~S57_n_PBS2_S68" 5
"97" "SSK2_S53-S54~S57_k_PBS2_S68" 0.462266
"98" "tau_PBS2_S68" 0.03639436
"99" "GPA1_S199_n_y-STE18" 4.996402
"100" "GPA1_S199_k_y-STE18" 0.1000006
"101" "tau_y-STE18" 0.1406357
"102" "PBS2_S68_n_HOG1_T174~Y176" 5
"103" "PBS2_S68_k_HOG1_T174~Y176" 0.9
"104" "PBS2_S248_n_HOG1_T174~Y176" 5
"105" "PBS2_S248_k_HOG1_T174~Y176" 0.9
"106" "PTC1_n_HOG1_T174~Y176" 5
"107" "PTC1_k_HOG1_T174~Y176" 0.6584139
"108" "PTP2_S258_n_HOG1_T174~Y176" 5
"109" "PTP2_S258_k_HOG1_T174~Y176" 0.245383
"110" "PBS2_S269_n_HOG1_T174~Y176" 4.999999
"111" "PBS2_S269_k_HOG1_T174~Y176" 0.9
"112" "tau_HOG1_T174~Y176" 4.955855
"113" "STE5_n_STE7" 5
"114" "STE5_k_STE7" 0.1009307
"115" "tau_STE7" 0.06904474
"116" "STEcomplex_n_PBS2_S248" 1
"117" "STEcomplex_k_PBS2_S248" 0.6800399
"118" "SSK2_S53-S54~S57_n_PBS2_S248" 5
"119" "SSK2_S53-S54~S57_k_PBS2_S248" 0.6453935
"120" "tau_PBS2_S248" 0.4233495
"121" "STEcomplex_n_STE5" 4.999628
"122" "STEcomplex_k_STE5" 0.9
"123" "b-STE4_n_STE5" 5
"124" "b-STE4_k_STE5" 0.1000001
"125" "tau_STE5" 9.414517
"126" "NBP2_n_PTC1" 1.987821
"127" "NBP2_k_PTC1" 0.3647638
"128" "tau_PTC1" 9.999998
"129" "HOG1_T174-Y176_n_PTP2_S258" 1.466864
"130" "HOG1_T174-Y176_k_PTP2_S258" 0.8993987
"131" "HOG1_T174~Y176_n_PTP2_S258" 4.999997
"132" "HOG1_T174~Y176_k_PTP2_S258" 0.9
"133" "tau_PTP2_S258" 0.2553356
"134" "STEcomplex_n_PBS2_S269" 4.953277
"135" "STEcomplex_k_PBS2_S269" 0.2505389
"136" "SSK2_S53-S54~S57_n_PBS2_S269" 5
"137" "SSK2_S53-S54~S57_k_PBS2_S269" 0.6140381
"138" "tau_PBS2_S269" 0.4066852
"139" "FUS3_T180_n_DIG1_S272~T277~S279" 4.999273
"140" "FUS3_T180_k_DIG1_S272~T277~S279" 0.1340075
"141" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 1.580106
"142" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.8999945
"143" "tau_DIG1_S272~T277~S279" 0.8502508
"144" "STE20_T511_n_STE11_S326" 5
"145" "STE20_T511_k_STE11_S326" 0.1
"146" "tau_STE11_S326" 0.01786527
"147" "STE20_T511_n_STE50_S202" 4.99998
"148" "STE20_T511_k_STE50_S202" 0.1000001
"149" "tau_STE50_S202" 0.03883453
"150" "DIG2_S225_n_STE12_S400" 4.999994
"151" "DIG2_S225_k_STE12_S400" 0.1000099
"152" "DIG1_S395_n_STE12_S400" 5
"153" "DIG1_S395_k_STE12_S400" 0.3563802
"154" "DIG1_S126-S127_n_STE12_S400" 5
"155" "DIG1_S126-S127_k_STE12_S400" 0.1000232
"156" "DIG1_S272_n_STE12_S400" 4.999998
"157" "DIG1_S272_k_STE12_S400" 0.1
"158" "FUS3_T180_n_STE12_S400" 4.999971
"159" "FUS3_T180_k_STE12_S400" 0.9
"160" "FUS3_S177-T180~Y182_n_STE12_S400" 4.999999
"161" "FUS3_S177-T180~Y182_k_STE12_S400" 0.8999979
"162" "DIG1_S272~T277~S279_n_STE12_S400" 5
"163" "DIG1_S272~T277~S279_k_STE12_S400" 0.1
"164" "tau_STE12_S400" 0.01
"165" "HOG1_T174-Y176_n_SKO1_T215" 5
"166" "HOG1_T174-Y176_k_SKO1_T215" 0.9
"167" "HOG1_T174~Y176_n_SKO1_T215" 5
"168" "HOG1_T174~Y176_k_SKO1_T215" 0.5902891
"169" "tau_SKO1_T215" 9.737064
"170" "HOG1_T174-Y176_n_SKO1_S94~S108~T113" 4.999998
"171" "HOG1_T174-Y176_k_SKO1_S94~S108~T113" 0.9
"172" "HOG1_T174~Y176_n_SKO1_S94~S108~T113" 5
"173" "HOG1_T174~Y176_k_SKO1_S94~S108~T113" 0.8151122
"174" "tau_SKO1_S94~S108~T113" 2.702007
"175" "HOT1_S153_n_GPD1_S24~S27" 4.999999
"176" "HOT1_S153_k_GPD1_S24~S27" 0.7505658
"177" "tau_GPD1_S24~S27" 0.2592784
