"names" "values"
"1" "HOG1_T174~Y176_n_GPD1_S24~S27" 2.615577
"2" "HOG1_T174~Y176_k_GPD1_S24~S27" 0.1
"3" "HOG1_T174-Y176_n_GPD1_S24~S27" 5
"4" "HOG1_T174-Y176_k_GPD1_S24~S27" 0.4251025
"5" "HOT1_S153_n_GPD1_S24~S27" 5
"6" "HOT1_S153_k_GPD1_S24~S27" 0.9
"7" "tau_GPD1_S24~S27" 1.054985
"8" "GPD1_S24~S27_n_HOG1_T174~Y176" 4.999951
"9" "GPD1_S24~S27_k_HOG1_T174~Y176" 0.1000001
"10" "PBS2_S68_n_HOG1_T174~Y176" 5
"11" "PBS2_S68_k_HOG1_T174~Y176" 0.6685275
"12" "PBS2_S248_n_HOG1_T174~Y176" 4.999999
"13" "PBS2_S248_k_HOG1_T174~Y176" 0.9
"14" "PTC1_n_HOG1_T174~Y176" 1.44828
"15" "PTC1_k_HOG1_T174~Y176" 0.8973355
"16" "PTP2_S258_n_HOG1_T174~Y176" 4.46606
"17" "PTP2_S258_k_HOG1_T174~Y176" 0.2425217
"18" "PBS2_S269_n_HOG1_T174~Y176" 4.999981
"19" "PBS2_S269_k_HOG1_T174~Y176" 0.9
"20" "tau_HOG1_T174~Y176" 9.699711
"21" "GPD1_S24~S27_n_HOG1_T174-Y176" 4.999999
"22" "GPD1_S24~S27_k_HOG1_T174-Y176" 0.1000123
"23" "PBS2_S68_n_HOG1_T174-Y176" 5
"24" "PBS2_S68_k_HOG1_T174-Y176" 0.8999993
"25" "PBS2_S248_n_HOG1_T174-Y176" 5
"26" "PBS2_S248_k_HOG1_T174-Y176" 0.9
"27" "PTC1_n_HOG1_T174-Y176" 4.999813
"28" "PTC1_k_HOG1_T174-Y176" 0.8999954
"29" "PTP2_S258_n_HOG1_T174-Y176" 5
"30" "PTP2_S258_k_HOG1_T174-Y176" 0.26686
"31" "PBS2_S269_n_HOG1_T174-Y176" 4.999993
"32" "PBS2_S269_k_HOG1_T174-Y176" 0.7538552
"33" "tau_HOG1_T174-Y176" 0.2758949
"34" "FUS3_T180_n_DIG2_S225" 2.443359
"35" "FUS3_T180_k_DIG2_S225" 0.8994597
"36" "FUS3_S177-T180~Y182_n_DIG2_S225" 4.99934
"37" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.3598557
"38" "tau_DIG2_S225" 0.07817959
"39" "SLN1_S833_n_YPD1" 1.442654
"40" "SLN1_S833_k_YPD1" 0.8999974
"41" "tau_YPD1" 1.865882
"42" "FUS3_T180_n_DIG1_S395" 4.999999
"43" "FUS3_T180_k_DIG1_S395" 0.4325785
"44" "FUS3_S177-T180~Y182_n_DIG1_S395" 4.999976
"45" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.8000366
"46" "tau_DIG1_S395" 0.02563898
"47" "FUS3_T180_n_DIG1_S126-S127" 1.000007
"48" "FUS3_T180_k_DIG1_S126-S127" 0.1
"49" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 2.099286
"50" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.6923116
"51" "tau_DIG1_S126-S127" 4.289449
"52" "NaCl_n_SHO1" 5
"53" "NaCl_k_SHO1" 0.8999704
"54" "tau_SHO1" 0.4161384
"55" "SHO1_n_STE20_T511" 1.034968
"56" "SHO1_k_STE20_T511" 0.9
"57" "b-STE4_n_STE20_T511" 4.999998
"58" "b-STE4_k_STE20_T511" 0.1000001
"59" "tau_STE20_T511" 0.2423743
"60" "a_n_STE2r" 1.000002
"61" "a_k_STE2r" 0.1000004
"62" "STE2_S331_n_STE2r" 4.999999
"63" "STE2_S331_k_STE2r" 0.8999999
"64" "tau_STE2r" 0.01000001
"65" "YPD1_n_SSK1_S193~S195" 1.294504
"66" "YPD1_k_SSK1_S193~S195" 0.8999998
"67" "tau_SSK1_S193~S195" 9.093467
"68" "STE2r_n_STE2_S331" 4.999983
"69" "STE2r_k_STE2_S331" 0.5542061
"70" "tau_STE2_S331" 0.04196088
"71" "FUS3_T180_n_DIG1_S272" 4.999561
"72" "FUS3_T180_k_DIG1_S272" 0.1
"73" "FUS3_S177-T180~Y182_n_DIG1_S272" 4.999998
"74" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.4375599
"75" "tau_DIG1_S272" 0.2570319
"76" "YPD1_n_SSK1_S351" 1.598574
"77" "YPD1_k_SSK1_S351" 0.1
"78" "tau_SSK1_S351" 0.01021896
"79" "STE11_S326_n_STEcomplex" 5
"80" "STE11_S326_k_STEcomplex" 0.8941815
"81" "STE50_S202_n_STEcomplex" 5
"82" "STE50_S202_k_STEcomplex" 0.8999999
"83" "tau_STEcomplex" 0.01577309
"84" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 1.155356
"85" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.8225247
"86" "SSK1_S351_n_SSK2_S53-S54~S57" 4.999993
"87" "SSK1_S351_k_SSK2_S53-S54~S57" 0.5822017
"88" "tau_SSK2_S53-S54~S57" 2.524556
"89" "PBS2_S68_n_NBP2" 1.006051
"90" "PBS2_S68_k_NBP2" 0.8999983
"91" "PBS2_S248_n_NBP2" 5
"92" "PBS2_S248_k_NBP2" 0.6028943
"93" "PBS2_S269_n_NBP2" 5
"94" "PBS2_S269_k_NBP2" 0.6367937
"95" "tau_NBP2" 7.782112
"96" "NaCl_n_SLN1_S833" 5
"97" "NaCl_k_SLN1_S833" 0.1000055
"98" "tau_SLN1_S833" 0.01
"99" "STE2r_n_GPA1_S199" 4.999654
"100" "STE2r_k_GPA1_S199" 0.9
"101" "tau_GPA1_S199" 0.01000007
"102" "STE7_n_FUS3_T180" 1.000031
"103" "STE7_k_FUS3_T180" 0.2348449
"104" "tau_FUS3_T180" 0.8909879
"105" "HOG1_T174~Y176_n_HOT1_S153" 3.384671
"106" "HOG1_T174~Y176_k_HOT1_S153" 0.8918919
"107" "HOG1_T174-Y176_n_HOT1_S153" 5
"108" "HOG1_T174-Y176_k_HOT1_S153" 0.9
"109" "tau_HOT1_S153" 0.1947573
"110" "STE7_n_FUS3_S177-T180~Y182" 5
"111" "STE7_k_FUS3_S177-T180~Y182" 0.2165896
"112" "tau_FUS3_S177-T180~Y182" 0.7442227
"113" "y-STE18_n_b-STE4" 4.01649
"114" "y-STE18_k_b-STE4" 0.6360065
"115" "tau_b-STE4" 2.402794
"116" "STEcomplex_n_PBS2_S68" 5
"117" "STEcomplex_k_PBS2_S68" 0.8999999
"118" "SSK2_S53-S54~S57_n_PBS2_S68" 5
"119" "SSK2_S53-S54~S57_k_PBS2_S68" 0.5530554
"120" "tau_PBS2_S68" 0.04807763
"121" "GPA1_S199_n_y-STE18" 1.724664
"122" "GPA1_S199_k_y-STE18" 0.5757391
"123" "tau_y-STE18" 0.1244616
"124" "STE5_n_STE7" 1.025674
"125" "STE5_k_STE7" 0.6967057
"126" "tau_STE7" 0.189112
"127" "STEcomplex_n_PBS2_S248" 1.000003
"128" "STEcomplex_k_PBS2_S248" 0.8998729
"129" "SSK2_S53-S54~S57_n_PBS2_S248" 5
"130" "SSK2_S53-S54~S57_k_PBS2_S248" 0.6233646
"131" "tau_PBS2_S248" 0.4334576
"132" "STEcomplex_n_STE5" 3.181208
"133" "STEcomplex_k_STE5" 0.1721011
"134" "b-STE4_n_STE5" 4.999986
"135" "b-STE4_k_STE5" 0.8999999
"136" "tau_STE5" 0.2291645
"137" "NBP2_n_PTC1" 1.437019
"138" "NBP2_k_PTC1" 0.2613558
"139" "tau_PTC1" 0.4462103
"140" "HOG1_T174~Y176_n_PTP2_S258" 1.573706
"141" "HOG1_T174~Y176_k_PTP2_S258" 0.8999998
"142" "HOG1_T174-Y176_n_PTP2_S258" 4.999985
"143" "HOG1_T174-Y176_k_PTP2_S258" 0.8999993
"144" "tau_PTP2_S258" 0.1974851
"145" "STEcomplex_n_PBS2_S269" 4.999821
"146" "STEcomplex_k_PBS2_S269" 0.8999981
"147" "SSK2_S53-S54~S57_n_PBS2_S269" 5
"148" "SSK2_S53-S54~S57_k_PBS2_S269" 0.6191231
"149" "tau_PBS2_S269" 0.3773125
"150" "FUS3_T180_n_DIG1_S272~T277~S279" 2.458342
"151" "FUS3_T180_k_DIG1_S272~T277~S279" 0.8999989
"152" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 4.999422
"153" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.1
"154" "tau_DIG1_S272~T277~S279" 0.9029686
"155" "STE20_T511_n_STE11_S326" 5
"156" "STE20_T511_k_STE11_S326" 0.1
"157" "tau_STE11_S326" 0.01907412
"158" "STE20_T511_n_STE50_S202" 4.999982
"159" "STE20_T511_k_STE50_S202" 0.1
"160" "tau_STE50_S202" 0.0364048
"161" "DIG2_S225_n_STE12_S400" 5
"162" "DIG2_S225_k_STE12_S400" 0.1
"163" "DIG1_S395_n_STE12_S400" 4.999999
"164" "DIG1_S395_k_STE12_S400" 0.543902
"165" "DIG1_S126-S127_n_STE12_S400" 4.999907
"166" "DIG1_S126-S127_k_STE12_S400" 0.1
"167" "DIG1_S272_n_STE12_S400" 5
"168" "DIG1_S272_k_STE12_S400" 0.1000001
"169" "FUS3_T180_n_STE12_S400" 5
"170" "FUS3_T180_k_STE12_S400" 0.8999945
"171" "FUS3_S177-T180~Y182_n_STE12_S400" 5
"172" "FUS3_S177-T180~Y182_k_STE12_S400" 0.9
"173" "DIG1_S272~T277~S279_n_STE12_S400" 4.999969
"174" "DIG1_S272~T277~S279_k_STE12_S400" 0.1001386
"175" "tau_STE12_S400" 0.09557387
"176" "HOG1_T174~Y176_n_SKO1_T215" 4.999999
"177" "HOG1_T174~Y176_k_SKO1_T215" 0.5215257
"178" "HOG1_T174-Y176_n_SKO1_T215" 5
"179" "HOG1_T174-Y176_k_SKO1_T215" 0.8999996
"180" "tau_SKO1_T215" 5.006392
"181" "HOG1_T174~Y176_n_SKO1_S94~S108~T113" 3.403553
"182" "HOG1_T174~Y176_k_SKO1_S94~S108~T113" 0.8573918
