"names" "values"
"1" "FUS3_T180_n_DIG2_S225" 4.999921
"2" "FUS3_T180_k_DIG2_S225" 0.486286
"3" "FUS3_S177-T180~Y182_n_DIG2_S225" 4.999847
"4" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.4441514
"5" "tau_DIG2_S225" 0.08186063
"6" "SLN1_S833_n_YPD1" 1.36903
"7" "SLN1_S833_k_YPD1" 0.8999861
"8" "tau_YPD1" 0.1113638
"9" "FUS3_T180_n_DIG1_S395" 1.002366
"10" "FUS3_T180_k_DIG1_S395" 0.1000162
"11" "FUS3_S177-T180~Y182_n_DIG1_S395" 4.775816
"12" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.6783663
"13" "tau_DIG1_S395" 0.02662449
"14" "FUS3_T180_n_DIG1_S126-S127" 1.062793
"15" "FUS3_T180_k_DIG1_S126-S127" 0.8999954
"16" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 4.999989
"17" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.3930042
"18" "tau_DIG1_S126-S127" 1.979743
"19" "NaCl_n_SHO1" 1.000033
"20" "NaCl_k_SHO1" 0.1001625
"21" "tau_SHO1" 0.01487573
"22" "SHO1_n_STE20_T511" 4.863884
"23" "SHO1_k_STE20_T511" 0.145009
"24" "b-STE4_n_STE20_T511" 4.999426
"25" "b-STE4_k_STE20_T511" 0.1326801
"26" "tau_STE20_T511" 9.995964
"27" "a_n_STE2r" 1.00029
"28" "a_k_STE2r" 0.7782281
"29" "STE2_S331_n_STE2r" 4.999991
"30" "STE2_S331_k_STE2r" 0.8999985
"31" "tau_STE2r" 0.01000006
"32" "YPD1_n_SSK1_S193~S195" 4.999988
"33" "YPD1_k_SSK1_S193~S195" 0.1000022
"34" "tau_SSK1_S193~S195" 0.01
"35" "STE2r_n_STE2_S331" 4.999986
"36" "STE2r_k_STE2_S331" 0.5523037
"37" "tau_STE2_S331" 0.04160356
"38" "FUS3_T180_n_DIG1_S272" 4.232092
"39" "FUS3_T180_k_DIG1_S272" 0.1000104
"40" "FUS3_S177-T180~Y182_n_DIG1_S272" 5
"41" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.4179045
"42" "tau_DIG1_S272" 0.2688954
"43" "YPD1_n_SSK1_S351" 1.847113
"44" "YPD1_k_SSK1_S351" 0.5911716
"45" "tau_SSK1_S351" 0.03213529
"46" "STE11_S326_n_STEcomplex" 4.999985
"47" "STE11_S326_k_STEcomplex" 0.8999917
"48" "STE50_S202_n_STEcomplex" 4.999997
"49" "STE50_S202_k_STEcomplex" 0.9
"50" "tau_STEcomplex" 0.05153482
"51" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 1.743322
"52" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.4342558
"53" "SSK1_S351_n_SSK2_S53-S54~S57" 4.999992
"54" "SSK1_S351_k_SSK2_S53-S54~S57" 0.46463
"55" "tau_SSK2_S53-S54~S57" 1.974635
"56" "PBS2_S68_n_NBP2" 1.154539
"57" "PBS2_S68_k_NBP2" 0.8261022
"58" "PBS2_S248_n_NBP2" 3.790027
"59" "PBS2_S248_k_NBP2" 0.3783838
"60" "PBS2_S269_n_NBP2" 4.881456
"61" "PBS2_S269_k_NBP2" 0.2820505
"62" "tau_NBP2" 0.3632598
"63" "NaCl_n_SLN1_S833" 1.358864
"64" "NaCl_k_SLN1_S833" 0.8167376
"65" "tau_SLN1_S833" 0.01000014
"66" "PBS2_S68_n_HOG1_T174-Y176" 5
"67" "PBS2_S68_k_HOG1_T174-Y176" 0.9
"68" "PBS2_S248_n_HOG1_T174-Y176" 4.999994
"69" "PBS2_S248_k_HOG1_T174-Y176" 0.8999861
"70" "PTC1_n_HOG1_T174-Y176" 4.999949
"71" "PTC1_k_HOG1_T174-Y176" 0.1000005
"72" "PTP2_S258_n_HOG1_T174-Y176" 1
"73" "PTP2_S258_k_HOG1_T174-Y176" 0.1
"74" "PBS2_S269_n_HOG1_T174-Y176" 4.999999
"75" "PBS2_S269_k_HOG1_T174-Y176" 0.8990235
"76" "tau_HOG1_T174-Y176" 0.7002779
"77" "STE2r_n_GPA1_S199" 4.999967
"78" "STE2r_k_GPA1_S199" 0.9
"79" "tau_GPA1_S199" 0.0100002
"80" "STE7_n_FUS3_T180" 1.000027
"81" "STE7_k_FUS3_T180" 0.1412352
"82" "tau_FUS3_T180" 0.708697
"83" "HOG1_T174-Y176_n_HOT1_S153" 4.999994
"84" "HOG1_T174-Y176_k_HOT1_S153" 0.8999902
"85" "HOG1_T174~Y176_n_HOT1_S153" 1.000021
"86" "HOG1_T174~Y176_k_HOT1_S153" 0.2989911
"87" "tau_HOT1_S153" 0.04219672
"88" "STE7_n_FUS3_S177-T180~Y182" 4.999984
"89" "STE7_k_FUS3_S177-T180~Y182" 0.1540042
"90" "tau_FUS3_S177-T180~Y182" 0.9900208
"91" "y-STE18_n_b-STE4" 4.999901
"92" "y-STE18_k_b-STE4" 0.3016588
"93" "tau_b-STE4" 0.02276882
"94" "STEcomplex_n_PBS2_S68" 1
"95" "STEcomplex_k_PBS2_S68" 0.2021457
"96" "tau_PBS2_S68" 0.01000043
"97" "GPA1_S199_n_y-STE18" 4.999978
"98" "GPA1_S199_k_y-STE18" 0.1000175
"99" "tau_y-STE18" 0.02045833
"100" "PBS2_S68_n_HOG1_T174~Y176" 4.999999
"101" "PBS2_S68_k_HOG1_T174~Y176" 0.8999988
"102" "PBS2_S248_n_HOG1_T174~Y176" 4.861641
"103" "PBS2_S248_k_HOG1_T174~Y176" 0.9
"104" "PTC1_n_HOG1_T174~Y176" 4.999921
"105" "PTC1_k_HOG1_T174~Y176" 0.1384149
"106" "PTP2_S258_n_HOG1_T174~Y176" 1
"107" "PTP2_S258_k_HOG1_T174~Y176" 0.1000001
"108" "PBS2_S269_n_HOG1_T174~Y176" 4.99999
"109" "PBS2_S269_k_HOG1_T174~Y176" 0.8791556
"110" "tau_HOG1_T174~Y176" 5.768072
"111" "STE5_n_STE7" 1.250114
"112" "STE5_k_STE7" 0.8999953
"113" "tau_STE7" 0.1569284
"114" "STEcomplex_n_PBS2_S248" 4.999518
"115" "STEcomplex_k_PBS2_S248" 0.1499032
"116" "SSK2_S53-S54~S57_n_PBS2_S248" 4.999997
