Name,TIC,MS name
Ma0s04_0,424000000000,vagas_O1210_178
Ma0s04_0,460000000000,
Ma0s04_0,416000000000,
Ma0s04_1,435000000000,
Ma0s04_1,424000000000,
Ma0s04_1,426000000000,
Ma0s04_5,349000000000,
Ma0s04_5,332000000000,
Ma0s04_5,330000000000,
Ma0s04_10,449000000000,
Ma0s04_10,311000000000,
Ma0s04_10,414000000000,
Ma0s04_20,481000000000,
Ma0s04_20,511000000000,
Ma0s04_20,426000000000,
Ma0s04_45,416000000000,
Ma0s04_45,523000000000,
Ma0s04_45,486000000000,
Ma10s04_0,383000000000,vagas_O1209_253
Ma10s04_0,479000000000,
Ma10s04_0,497000000000,
Ma10s04_1,344000000000,
Ma10s04_1,343000000000,
Ma10s04_1,487000000000,
Ma10s04_5,479000000000,
Ma10s04_5,429000000000,
Ma10s04_5,364000000000,
Ma10s04_10,422000000000,
Ma10s04_10,366000000000,
Ma10s04_10,385000000000,
Ma10s04_20,349000000000,
Ma10s04_20,511000000000,
Ma10s04_20,512000000000,
Ma10s04_45,441000000000,
Ma10s04_45,427000000000,
Ma10s04_45,408000000000,
Ma1s04_0,412000000000,vagas_O1210_311
Ma1s04_0,373000000000,
Ma1s04_0,374000000000,
Ma1s04_1,418000000000,
Ma1s04_1,261000000000,
Ma1s04_1,383000000000,
Ma1s04_5,456000000000,
Ma1s04_5,392000000000,
Ma1s04_5,503000000000,
Ma1s04_10,491000000000,
Ma1s04_10,501000000000,
Ma1s04_10,418000000000,
Ma1s04_20,470000000000,
Ma1s04_20,372000000000,
Ma1s04_20,485000000000,
Ma1s04_45,475000000000,
Ma1s04_45,488000000000,
Ma1s04_45,456000000000,
Ma20s04_0,349000000000,vagas_O1210_357
Ma20s04_0,584000000000,
Ma20s04_0,529000000000,
Ma20s04_1,275000000000,
Ma20s04_1,283000000000,
Ma20s04_1,452000000000,
Ma20s04_5,350000000000,
Ma20s04_5,519000000000,
Ma20s04_5,294000000000,
Ma20s04_10,527000000000,
Ma20s04_10,491000000000,
Ma20s04_10,330000000000,
Ma20s04_20,566000000000,
Ma20s04_20,586000000000,
Ma20s04_20,325000000000,
Ma20s04_45,433000000000,
Ma20s04_45,558000000000,
Ma20s04_45,487000000000,
Ma45s04_0,154000000000,vagas_O1210_436
Ma45s04_0,156000000000,
Ma45s04_0,178000000000,
Ma45s04_1,141000000000,
Ma45s04_1,122000000000,
Ma45s04_1,156000000000,
Ma45s04_5,154000000000,
Ma45s04_5,142000000000,
Ma45s04_5,154000000000,
Ma45s04_10,131000000000,
Ma45s04_10,163000000000,
Ma45s04_10,157000000000,
Ma45s04_20,129000000000,
Ma45s04_20,116000000000,
Ma45s04_20,144000000000,
Ma45s04_45,122000000000,
Ma45s04_45,127000000000,
Ma45s04_45,164000000000,
Ma5s04_0,544000000000,vagas_O1210_244
Ma5s04_0,609000000000,
Ma5s04_0,432000000000,
Ma5s04_1,423000000000,
Ma5s04_1,577000000000,
Ma5s04_1,565000000000,
Ma5s04_5,432000000000,
Ma5s04_5,620000000000,
Ma5s04_5,620000000000,
Ma5s04_10,562000000000,
Ma5s04_10,625000000000,
Ma5s04_10,571000000000,
Ma5s04_20,622000000000,
Ma5s04_20,599000000000,
Ma5s04_20,585000000000,
Ma5s04_45,319000000000,
Ma5s04_45,667000000000,
Ma5s04_45,619000000000,
