"names" "values"
"1" "HOG1_T174~Y176_n_GPD1_S24~S27" 1.068495
"2" "HOG1_T174~Y176_k_GPD1_S24~S27" 0.5976065
"3" "HOG1_T174-Y176_n_GPD1_S24~S27" 4.900283
"4" "HOG1_T174-Y176_k_GPD1_S24~S27" 0.406942
"5" "HOT1_S153_n_GPD1_S24~S27" 4.808142
"6" "HOT1_S153_k_GPD1_S24~S27" 0.7300487
"7" "tau_GPD1_S24~S27" 1.316201
"8" "GPD1_S24~S27_n_HOG1_T174~Y176" 4.999994
"9" "GPD1_S24~S27_k_HOG1_T174~Y176" 0.1000075
"10" "PBS2_S68_n_HOG1_T174~Y176" 4.999998
"11" "PBS2_S68_k_HOG1_T174~Y176" 0.8999999
"12" "PBS2_S248_n_HOG1_T174~Y176" 4.999922
"13" "PBS2_S248_k_HOG1_T174~Y176" 0.8999964
"14" "PTC1_n_HOG1_T174~Y176" 1.058563
"15" "PTC1_k_HOG1_T174~Y176" 0.8923313
"16" "PTP2_S258_n_HOG1_T174~Y176" 1.000002
"17" "PTP2_S258_k_HOG1_T174~Y176" 0.1000007
"18" "PBS2_S269_n_HOG1_T174~Y176" 4.67721
"19" "PBS2_S269_k_HOG1_T174~Y176" 0.5430483
"20" "tau_HOG1_T174~Y176" 5.656918
"21" "GPD1_S24~S27_n_HOG1_T174-Y176" 4.993854
"22" "GPD1_S24~S27_k_HOG1_T174-Y176" 0.1000584
"23" "PBS2_S68_n_HOG1_T174-Y176" 4.999954
"24" "PBS2_S68_k_HOG1_T174-Y176" 0.8999904
"25" "PBS2_S248_n_HOG1_T174-Y176" 4.999982
"26" "PBS2_S248_k_HOG1_T174-Y176" 0.8999565
"27" "PTC1_n_HOG1_T174-Y176" 4.878129
"28" "PTC1_k_HOG1_T174-Y176" 0.3248777
"29" "PTP2_S258_n_HOG1_T174-Y176" 1.000001
"30" "PTP2_S258_k_HOG1_T174-Y176" 0.1
"31" "PBS2_S269_n_HOG1_T174-Y176" 4.949511
"32" "PBS2_S269_k_HOG1_T174-Y176" 0.8664819
"33" "tau_HOG1_T174-Y176" 0.6085999
"34" "FUS3_T180_n_DIG2_S225" 4.998882
"35" "FUS3_T180_k_DIG2_S225" 0.5525606
"36" "FUS3_S177-T180~Y182_n_DIG2_S225" 1.402421
"37" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.8989855
"38" "tau_DIG2_S225" 0.08325944
"39" "SLN1_S833_n_YPD1" 2.517554
"40" "SLN1_S833_k_YPD1" 0.899504
"41" "tau_YPD1" 0.01000385
"42" "FUS3_T180_n_DIG1_S395" 4.999183
"43" "FUS3_T180_k_DIG1_S395" 0.1134011
"44" "FUS3_S177-T180~Y182_n_DIG1_S395" 4.999744
"45" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.7732428
"46" "tau_DIG1_S395" 0.02643599
"47" "FUS3_T180_n_DIG1_S126-S127" 4.999996
"48" "FUS3_T180_k_DIG1_S126-S127" 0.6277339
"49" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 4.999889
"50" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.2561971
"51" "tau_DIG1_S126-S127" 1.169259
"52" "NaCl_n_SHO1" 1.000074
"53" "NaCl_k_SHO1" 0.8976361
"54" "tau_SHO1" 0.2684524
"55" "SHO1_n_STE20_T511" 1.181024
"56" "SHO1_k_STE20_T511" 0.7316993
"57" "b-STE4_n_STE20_T511" 4.999848
"58" "b-STE4_k_STE20_T511" 0.2351119
"59" "tau_STE20_T511" 0.3805447
"60" "a_n_STE2r" 1.048242
"61" "a_k_STE2r" 0.8999878
"62" "STE2_S331_n_STE2r" 4.999977
"63" "STE2_S331_k_STE2r" 0.899987
"64" "tau_STE2r" 0.01013913
"65" "YPD1_n_SSK1_S193~S195" 1.000275
"66" "YPD1_k_SSK1_S193~S195" 0.1229285
"67" "tau_SSK1_S193~S195" 3.985612
"68" "STE2r_n_STE2_S331" 4.998941
"69" "STE2r_k_STE2_S331" 0.5591526
"70" "tau_STE2_S331" 0.04180573
"71" "FUS3_T180_n_DIG1_S272" 4.999539
"72" "FUS3_T180_k_DIG1_S272" 0.1002958
"73" "FUS3_S177-T180~Y182_n_DIG1_S272" 4.999997
"74" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.4600499
"75" "tau_DIG1_S272" 0.2967091
"76" "YPD1_n_SSK1_S351" 1.000799
"77" "YPD1_k_SSK1_S351" 0.2280689
"78" "tau_SSK1_S351" 0.01000162
"79" "STE11_S326_n_STEcomplex" 4.999677
"80" "STE11_S326_k_STEcomplex" 0.8999966
"81" "STE50_S202_n_STEcomplex" 4.998515
"82" "STE50_S202_k_STEcomplex" 0.8998385
"83" "tau_STEcomplex" 0.01000111
"84" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 4.999985
"85" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.6673619
"86" "SSK1_S351_n_SSK2_S53-S54~S57" 4.99872
"87" "SSK1_S351_k_SSK2_S53-S54~S57" 0.1001925
"88" "tau_SSK2_S53-S54~S57" 2.902211
"89" "PBS2_S68_n_NBP2" 1.000014
"90" "PBS2_S68_k_NBP2" 0.1018743
"91" "PBS2_S248_n_NBP2" 1.052859
"92" "PBS2_S248_k_NBP2" 0.2756703
"93" "PBS2_S269_n_NBP2" 1.742986
"94" "PBS2_S269_k_NBP2" 0.1926777
"95" "tau_NBP2" 5.913196
"96" "NaCl_n_SLN1_S833" 4.999974
"97" "NaCl_k_SLN1_S833" 0.8609429
"98" "tau_SLN1_S833" 0.01000002
"99" "STE2r_n_GPA1_S199" 4.999772
"100" "STE2r_k_GPA1_S199" 0.8999882
"101" "tau_GPA1_S199" 0.01
"102" "STE7_n_FUS3_T180" 2.715995
"103" "STE7_k_FUS3_T180" 0.3037545
"104" "tau_FUS3_T180" 9.998697
"105" "HOG1_T174~Y176_n_HOT1_S153" 1.000429
"106" "HOG1_T174~Y176_k_HOT1_S153" 0.8949643
"107" "HOG1_T174-Y176_n_HOT1_S153" 4.983293
"108" "HOG1_T174-Y176_k_HOT1_S153" 0.100492
"109" "tau_HOT1_S153" 0.02196246
"110" "STE7_n_FUS3_S177-T180~Y182" 4.997213
"111" "STE7_k_FUS3_S177-T180~Y182" 0.3317172
"112" "tau_FUS3_S177-T180~Y182" 0.3886481
"113" "y-STE18_n_b-STE4" 1.033451
"114" "y-STE18_k_b-STE4" 0.8989835
"115" "tau_b-STE4" 0.04157031
"116" "STEcomplex_n_PBS2_S68" 1.00767
"117" "STEcomplex_k_PBS2_S68" 0.4399267
"118" "tau_PBS2_S68" 0.01000013
"119" "GPA1_S199_n_y-STE18" 4.999268
"120" "GPA1_S199_k_y-STE18" 0.3661994
"121" "tau_y-STE18" 0.1464434
"122" "STE5_n_STE7" 4.962461
"123" "STE5_k_STE7" 0.1000003
"124" "tau_STE7" 0.1638509
"125" "STEcomplex_n_PBS2_S248" 1.995517
"126" "STEcomplex_k_PBS2_S248" 0.6463981
"127" "SSK2_S53-S54~S57_n_PBS2_S248" 1.994322
"128" "SSK2_S53-S54~S57_k_PBS2_S248" 0.8900423
"129" "tau_PBS2_S248" 0.4950328
"130" "STEcomplex_n_STE5" 4.995433
"131" "STEcomplex_k_STE5" 0.8982578
"132" "b-STE4_n_STE5" 4.967988
"133" "b-STE4_k_STE5" 0.8939086
"134" "tau_STE5" 0.01205687
"135" "NBP2_n_PTC1" 3.34675
"136" "NBP2_k_PTC1" 0.1000412
"137" "tau_PTC1" 8.242203
"138" "SSK2_S53-S54~S57_n_PBS2_S269" 4.999995
"139" "SSK2_S53-S54~S57_k_PBS2_S269" 0.6142705
"140" "tau_PBS2_S269" 0.3686081
"141" "FUS3_T180_n_DIG1_S272~T277~S279" 4.99994
"142" "FUS3_T180_k_DIG1_S272~T277~S279" 0.167621
"143" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 1.72769
"144" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.8999933
"145" "tau_DIG1_S272~T277~S279" 0.8195205
"146" "STE20_T511_n_STE11_S326" 4.999314
"147" "STE20_T511_k_STE11_S326" 0.100001
"148" "tau_STE11_S326" 0.01906931
"149" "STE20_T511_n_STE50_S202" 4.983246
"150" "STE20_T511_k_STE50_S202" 0.1004863
"151" "tau_STE50_S202" 0.03771566
"152" "DIG2_S225_n_STE12_S400" 4.999969
"153" "DIG2_S225_k_STE12_S400" 0.4230348
"154" "DIG1_S395_n_STE12_S400" 4.999993
"155" "DIG1_S395_k_STE12_S400" 0.5173957
"156" "DIG1_S126-S127_n_STE12_S400" 4.999952
"157" "DIG1_S126-S127_k_STE12_S400" 0.1000398
"158" "DIG1_S272_n_STE12_S400" 4.999959
"159" "DIG1_S272_k_STE12_S400" 0.1000185
"160" "FUS3_T180_n_STE12_S400" 4.999996
"161" "FUS3_T180_k_STE12_S400" 0.8998995
"162" "FUS3_S177-T180~Y182_n_STE12_S400" 4.999983
