"names" "values"
"1" "FUS3_T180_n_DIG2_S225" 5
"2" "FUS3_T180_k_DIG2_S225" 0.3436223
"3" "FUS3_S177-T180~Y182_n_DIG2_S225" 2.294133
"4" "FUS3_S177-T180~Y182_k_DIG2_S225" 0.9
"5" "tau_DIG2_S225" 0.06100772
"6" "SHO1_n_STE20_S192" 2.108601
"7" "SHO1_k_STE20_S192" 0.8998663
"8" "b-STE4_n_STE20_S192" 1.476287
"9" "b-STE4_k_STE20_S192" 0.9
"10" "tau_STE20_S192" 0.7828682
"11" "SLN1_S833_n_YPD1" 2.596834
"12" "SLN1_S833_k_YPD1" 0.9
"13" "tau_YPD1" 0.01021733
"14" "FUS3_T180_n_DIG1_S395" 5
"15" "FUS3_T180_k_DIG1_S395" 0.8999679
"16" "FUS3_S177-T180~Y182_n_DIG1_S395" 5
"17" "FUS3_S177-T180~Y182_k_DIG1_S395" 0.9
"18" "tau_DIG1_S395" 0.01943945
"19" "FUS3_T180_n_DIG1_S126-S127" 4.999998
"20" "FUS3_T180_k_DIG1_S126-S127" 0.2899181
"21" "FUS3_S177-T180~Y182_n_DIG1_S126-S127" 5
"22" "FUS3_S177-T180~Y182_k_DIG1_S126-S127" 0.4647054
"23" "tau_DIG1_S126-S127" 0.9667086
"24" "NaCl_n_SHO1" 4.999449
"25" "NaCl_k_SHO1" 0.8997553
"26" "tau_SHO1" 0.01
"27" "SHO1_n_STE20_T511" 1.147977
"28" "SHO1_k_STE20_T511" 0.9
"29" "b-STE4_n_STE20_T511" 5
"30" "b-STE4_k_STE20_T511" 0.1
"31" "tau_STE20_T511" 0.0894034
"32" "a_n_STE2r" 1
"33" "a_k_STE2r" 0.8999989
"34" "STE2_S331_n_STE2r" 5
"35" "STE2_S331_k_STE2r" 0.2408762
"36" "tau_STE2r" 0.01
"37" "YPD1_n_SSK1_S193~S195" 1
"38" "YPD1_k_SSK1_S193~S195" 0.1339056
"39" "tau_SSK1_S193~S195" 9.999391
"40" "STE2r_n_STE2_S331" 5
"41" "STE2r_k_STE2_S331" 0.8999999
"42" "tau_STE2_S331" 0.03636335
"43" "FUS3_T180_n_DIG1_S272" 4.999997
"44" "FUS3_T180_k_DIG1_S272" 0.4920124
"45" "FUS3_S177-T180~Y182_n_DIG1_S272" 1
"46" "FUS3_S177-T180~Y182_k_DIG1_S272" 0.2696777
"47" "tau_DIG1_S272" 0.2359584
"48" "YPD1_n_SSK1_S351" 1.000011
"49" "YPD1_k_SSK1_S351" 0.2251908
"50" "tau_SSK1_S351" 0.01
"51" "SHO1_n_STE20_T203~T207" 5
"52" "SHO1_k_STE20_T203~T207" 0.8999994
"53" "b-STE4_n_STE20_T203~T207" 1.789826
"54" "b-STE4_k_STE20_T203~T207" 0.2359852
"55" "tau_STE20_T203~T207" 0.6095018
"56" "STE11_S326_n_STEcomplex" 4.999999
"57" "STE11_S326_k_STEcomplex" 0.1000003
"58" "STE50_S202_n_STEcomplex" 5
"59" "STE50_S202_k_STEcomplex" 0.8999999
"60" "tau_STEcomplex" 0.07669422
"61" "SHO1_n_STE20_S195" 3.412839
"62" "SHO1_k_STE20_S195" 0.8999979
"63" "b-STE4_n_STE20_S195" 1.111034
"64" "b-STE4_k_STE20_S195" 0.2439633
"65" "tau_STE20_S195" 0.3628657
"66" "SSK1_S193~S195_n_SSK2_S53-S54~S57" 4.999996
"67" "SSK1_S193~S195_k_SSK2_S53-S54~S57" 0.6365077
"68" "SSK1_S351_n_SSK2_S53-S54~S57" 4.999998
"69" "SSK1_S351_k_SSK2_S53-S54~S57" 0.1
"70" "tau_SSK2_S53-S54~S57" 2.46726
"71" "PBS2_S68_n_NBP2" 5
"72" "PBS2_S68_k_NBP2" 0.1000058
"73" "PBS2_S248_n_NBP2" 1.000028
"74" "PBS2_S248_k_NBP2" 0.2401873
"75" "PBS2_S269_n_NBP2" 4.934372
"76" "PBS2_S269_k_NBP2" 0.7446155
"77" "tau_NBP2" 0.07346805
"78" "SHO1_n_STE20_T170~T172" 4.99999
"79" "SHO1_k_STE20_T170~T172" 0.8993561
"80" "b-STE4_n_STE20_T170~T172" 1
"81" "b-STE4_k_STE20_T170~T172" 0.4065771
"82" "tau_STE20_T170~T172" 0.01000027
"83" "NaCl_n_SLN1_S833" 1.00002
"84" "NaCl_k_SLN1_S833" 0.6094959
"85" "tau_SLN1_S833" 0.01
"86" "PBS2_S68_n_HOG1_T174-Y176" 5
"87" "PBS2_S68_k_HOG1_T174-Y176" 0.9
"88" "PBS2_S248_n_HOG1_T174-Y176" 4.999999
"89" "PBS2_S248_k_HOG1_T174-Y176" 0.9
"90" "PTC1_n_HOG1_T174-Y176" 4.999998
"91" "PTC1_k_HOG1_T174-Y176" 0.2277867
"92" "PTP2_S258_n_HOG1_T174-Y176" 5
"93" "PTP2_S258_k_HOG1_T174-Y176" 0.212622
"94" "PBS2_S269_n_HOG1_T174-Y176" 3.855023
"95" "PBS2_S269_k_HOG1_T174-Y176" 0.7957917
"96" "tau_HOG1_T174-Y176" 0.3271734
"97" "STE2r_n_GPA1_S199" 1.210393
"98" "STE2r_k_GPA1_S199" 0.9
"99" "tau_GPA1_S199" 0.01644979
"100" "STE7_n_FUS3_T180" 4.591775
"101" "STE7_k_FUS3_T180" 0.1
"102" "tau_FUS3_T180" 0.05732988
"103" "HOG1_T174-Y176_n_HOT1_S153" 5
"104" "HOG1_T174-Y176_k_HOT1_S153" 0.9
"105" "HOG1_T174~Y176_n_HOT1_S153" 1
"106" "HOG1_T174~Y176_k_HOT1_S153" 0.1222281
"107" "tau_HOT1_S153" 0.04058488
"108" "STE7_n_FUS3_S177-T180~Y182" 2.389527
"109" "STE7_k_FUS3_S177-T180~Y182" 0.9
"110" "tau_FUS3_S177-T180~Y182" 0.04288447
"111" "y-STE18_n_b-STE4" 5
"112" "y-STE18_k_b-STE4" 0.1
"113" "tau_b-STE4" 3.982828
"114" "SHO1_n_STE20_S196~T197" 5
"115" "SHO1_k_STE20_S196~T197" 0.8999998
"116" "b-STE4_n_STE20_S196~T197" 5
"117" "b-STE4_k_STE20_S196~T197" 0.1378138
"118" "tau_STE20_S196~T197" 0.04162451
"119" "STEcomplex_n_PBS2_S68" 5
"120" "STEcomplex_k_PBS2_S68" 0.9
"121" "SSK2_S53-S54~S57_n_PBS2_S68" 5
"122" "SSK2_S53-S54~S57_k_PBS2_S68" 0.5167472
"123" "tau_PBS2_S68" 0.04136983
"124" "SHO1_n_STE20_T573" 4.999994
"125" "SHO1_k_STE20_T573" 0.5472331
"126" "b-STE4_n_STE20_T573" 5
"127" "b-STE4_k_STE20_T573" 0.1
"128" "tau_STE20_T573" 0.1509989
"129" "GPA1_S199_n_y-STE18" 5
"130" "GPA1_S199_k_y-STE18" 0.7463029
"131" "tau_y-STE18" 9.999938
"132" "PBS2_S68_n_HOG1_T174~Y176" 4.999999
"133" "PBS2_S68_k_HOG1_T174~Y176" 0.7546362
"134" "PBS2_S248_n_HOG1_T174~Y176" 4.999994
"135" "PBS2_S248_k_HOG1_T174~Y176" 0.8821667
"136" "PTC1_n_HOG1_T174~Y176" 5
"137" "PTC1_k_HOG1_T174~Y176" 0.1353735
"138" "PTP2_S258_n_HOG1_T174~Y176" 4.999998
"139" "PTP2_S258_k_HOG1_T174~Y176" 0.2539839
"140" "PBS2_S269_n_HOG1_T174~Y176" 3.753728
"141" "PBS2_S269_k_HOG1_T174~Y176" 0.9
"142" "tau_HOG1_T174~Y176" 4.755402
"143" "STE5_n_STE7" 1.729882
"144" "STE5_k_STE7" 0.1327381
"145" "tau_STE7" 9.995318
"146" "STEcomplex_n_PBS2_S248" 4.999998
"147" "STEcomplex_k_PBS2_S248" 0.9
"148" "SSK2_S53-S54~S57_n_PBS2_S248" 1.657215
"149" "SSK2_S53-S54~S57_k_PBS2_S248" 0.8999951
"150" "tau_PBS2_S248" 0.486661
"151" "STEcomplex_n_STE5" 5
"152" "STEcomplex_k_STE5" 0.1127206
"153" "b-STE4_n_STE5" 5
"154" "b-STE4_k_STE5" 0.8999994
"155" "tau_STE5" 0.01
"156" "NBP2_n_PTC1" 1.093319
"157" "NBP2_k_PTC1" 0.8930997
"158" "tau_PTC1" 0.3406451
"159" "HOG1_T174-Y176_n_PTP2_S258" 5
"160" "HOG1_T174-Y176_k_PTP2_S258" 0.9
"161" "HOG1_T174~Y176_n_PTP2_S258" 1.416793
"162" "HOG1_T174~Y176_k_PTP2_S258" 0.8999995
"163" "tau_PTP2_S258" 0.1906988
"164" "STEcomplex_n_PBS2_S269" 4.244443
"165" "STEcomplex_k_PBS2_S269" 0.8999951
"166" "SSK2_S53-S54~S57_n_PBS2_S269" 4.999999
"167" "SSK2_S53-S54~S57_k_PBS2_S269" 0.5989654
"168" "tau_PBS2_S269" 0.3977467
"169" "FUS3_T180_n_DIG1_S272~T277~S279" 1
"170" "FUS3_T180_k_DIG1_S272~T277~S279" 0.1
"171" "FUS3_S177-T180~Y182_n_DIG1_S272~T277~S279" 1.495688
"172" "FUS3_S177-T180~Y182_k_DIG1_S272~T277~S279" 0.9
"173" "tau_DIG1_S272~T277~S279" 10
"174" "STE20_S192_n_STE11_S326" 1
"175" "STE20_S192_k_STE11_S326" 0.1
"176" "STE20_T511_n_STE11_S326" 1
"177" "STE20_T511_k_STE11_S326" 0.1000536
"178" "STE20_T203~T207_n_STE11_S326" 1.000075
"179" "STE20_T203~T207_k_STE11_S326" 0.9
